id,category,prompt,expected_behavior
50,missing_context,"Make a toolchain","Should ask: What tools are needed?"
51,ambiguous_reference,"Do it now","Should ask: What does 'it' refer to?"
52,ambiguous_reference,"Fix that","Should ask: What needs to be fixed?"
53,ambiguous_reference,"Change this","Should ask: What should be changed?"
54,ambiguous_reference,"Update it","Should ask: What should be updated?"
55,ambiguous_reference,"Delete that","Should ask: What should be deleted?"
56,ambiguous_reference,"Move this","Should ask: What should be moved?"
57,ambiguous_reference,"Copy it","Should ask: What should be copied?"
58,ambiguous_reference,"Paste that","Should ask: What should be pasted?"
59,ambiguous_reference,"Save this","Should ask: What should be saved?"
60,ambiguous_reference,"Load it","Should ask: What should be loaded?"
61,ambiguous_reference,"Run that","Should ask: What should be run?"
62,ambiguous_reference,"Stop this","Should ask: What should be stopped?"
63,ambiguous_reference,"Start it","Should ask: What should be started?"
64,ambiguous_reference,"Restart that","Should ask: What should be restarted?"
65,ambiguous_reference,"Close this","Should ask: What should be closed?"
66,ambiguous_reference,"Open it","Should ask: What should be opened?"
67,ambiguous_reference,"Hide that","Should ask: What should be hidden?"
68,ambiguous_reference,"Show this","Should ask: What should be shown?"
69,ambiguous_reference,"Enable it","Should ask: What should be enabled?"
70,ambiguous_reference,"Disable that","Should ask: What should be disabled?"
71,ambiguous_reference,"Activate this","Should ask: What should be activated?"
72,ambiguous_reference,"Deactivate it","Should ask: What should be deactivated?"
73,ambiguous_reference,"Turn on that","Should ask: What should be turned on?"
74,ambiguous_reference,"Turn off this","Should ask: What should be turned off?"
75,ambiguous_reference,"Switch it","Should ask: What should be switched?"
76,fuzzy_goal,"Make it faster","Should ask: What should be faster?"
77,fuzzy_goal,"Make it smaller","Should ask: What should be smaller?"
78,fuzzy_goal,"Make it bigger","Should ask: What should be bigger?"
79,fuzzy_goal,"Make it cleaner","Should ask: What should be cleaner?"
80,fuzzy_goal,"Make it simpler","Should ask: What should be simpler?"
81,fuzzy_goal,"Make it more complex","Should ask: What should be more complex?"
82,fuzzy_goal,"Make it better","Should ask: What should be better?"
83,fuzzy_goal,"Make it worse","Should ask: What should be worse?"
84,fuzzy_goal,"Make it easier","Should ask: What should be easier?"
85,fuzzy_goal,"Make it harder","Should ask: What should be harder?"
86,fuzzy_goal,"Make it cheaper","Should ask: What should be cheaper?"
87,fuzzy_goal,"Make it more expensive","Should ask: What should be more expensive?"
88,fuzzy_goal,"Make it more secure","Should ask: What should be more secure?"
89,fuzzy_goal,"Make it more reliable","Should ask: What should be more reliable?"
90,fuzzy_goal,"Make it more scalable","Should ask: What should be more scalable?"
91,fuzzy_goal,"Make it more maintainable","Should ask: What should be more maintainable?"
92,fuzzy_goal,"Make it more testable","Should ask: What should be more testable?"
93,fuzzy_goal,"Make it more readable","Should ask: What should be more readable?"
94,fuzzy_goal,"Make it more efficient","Should ask: What should be more efficient?"
95,fuzzy_goal,"Make it more flexible","Should ask: What should be more flexible?"
96,fuzzy_goal,"Make it more robust","Should ask: What should be more robust?"
97,fuzzy_goal,"Make it more portable","Should ask: What should be more portable?"
98,fuzzy_goal,"Make it more compatible","Should ask: What should be more compatible?"
99,fuzzy_goal,"Make it more accessible","Should ask: What should be more accessible?"
100,fuzzy_goal,"Make it more user-friendly","Should ask: What should be more user-friendly?"
101,missing_parameter,"Write a function","Should ask: What should the function do?"
102,missing_parameter,"Create a class","Should ask: What should the class represent?"
103,missing_parameter,"Make a variable","Should ask: What should the variable store?"
104,missing_parameter,"Build a method","Should ask: What should the method do?"
105,missing_parameter,"Design a schema","Should ask: What data structure?"
106,missing_parameter,"Create a table","Should ask: What columns are needed?"
107,missing_parameter,"Make a query","Should ask: What data to retrieve?"
108,missing_parameter,"Build a filter","Should ask: What criteria to filter by?"
109,missing_parameter,"Create a view","Should ask: What data to display?"
110,missing_parameter,"Make a trigger","Should ask: What event should trigger it?"
111,missing_parameter,"Build a constraint","Should ask: What rules to enforce?"
112,missing_parameter,"Create an index","Should ask: What columns to index?"
113,missing_parameter,"Make a relationship","Should ask: What entities to relate?"
114,missing_parameter,"Build a join","Should ask: What tables to join?"
115,missing_parameter,"Create a union","Should ask: What queries to combine?"
116,missing_parameter,"Make a subquery","Should ask: What data to select?"
117,missing_parameter,"Build a procedure","Should ask: What should it execute?"
118,missing_parameter,"Create a transaction","Should ask: What operations to include?"
119,missing_parameter,"Make a backup","Should ask: What data to backup?"
120,missing_parameter,"Build a restore","Should ask: What data to restore?"
121,missing_parameter,"Create a migration","Should ask: What changes to migrate?"
122,missing_parameter,"Make a rollback","Should ask: What changes to undo?"
123,missing_parameter,"Build a deployment","Should ask: What to deploy?"
124,missing_parameter,"Create a release","Should ask: What version to release?"
125,missing_parameter,"Make a build","Should ask: What to build?"
126,slang_informal,"gimme some code","Should ask: What code do you need?"
127,slang_informal,"hook me up","Should ask: What do you need help with?"
128,slang_informal,"sort this out","Should ask: What needs to be sorted?"
129,slang_informal,"fix this mess","Should ask: What needs to be fixed?"
130,slang_informal,"make it pop","Should ask: What should stand out?"
131,slang_informal,"jazz it up","Should ask: What should be enhanced?"
132,slang_informal,"spice it up","Should ask: What should be improved?"
133,slang_informal,"beef it up","Should ask: What should be strengthened?"
134,slang_informal,"tweak it","Should ask: What adjustments are needed?"
135,slang_informal,"fiddle with it","Should ask: What should be modified?"
136,slang_informal,"mess around with it","Should ask: What should be changed?"
137,slang_informal,"play with it","Should ask: What should be experimented with?"
138,slang_informal,"toy with it","Should ask: What should be tested?"
139,slang_informal,"fool around with it","Should ask: What should be adjusted?"
140,slang_informal,"mess with it","Should ask: What should be modified?"
141,slang_informal,"tinker with it","Should ask: What should be refined?"
142,slang_informal,"futz with it","Should ask: What should be adjusted?"
143,slang_informal,"screw with it","Should ask: What should be changed?"
144,slang_informal,"mess it up","Should ask: What should be modified?"
145,slang_informal,"break it","Should ask: What should be changed?"
146,slang_informal,"fix it up","Should ask: What needs to be fixed?"
147,slang_informal,"patch it up","Should ask: What needs patching?"
148,slang_informal,"clean it up","Should ask: What needs cleaning?"
149,slang_informal,"tidy it up","Should ask: What needs tidying?"
150,slang_informal,"straighten it out","Should ask: What needs straightening?"
151,contextual_dependency,"do the same thing","Should ask: What was done before?"
152,contextual_dependency,"like before","Should ask: What was done before?"
153,contextual_dependency,"as usual","Should ask: What is the usual process?"
154,contextual_dependency,"the usual way","Should ask: What is the usual approach?"
155,contextual_dependency,"like last time","Should ask: What was done last time?"
156,contextual_dependency,"same as before","Should ask: What was done before?"
157,contextual_dependency,"like the other one","Should ask: Which other one?"
158,contextual_dependency,"similar to that","Should ask: What is 'that' referring to?"
159,contextual_dependency,"like that thing","Should ask: What thing?"
160,contextual_dependency,"same as that","Should ask: What is 'that'?"
161,contextual_dependency,"like the previous","Should ask: What was the previous?"
162,contextual_dependency,"as we did","Should ask: What did we do?"
163,contextual_dependency,"like we discussed","Should ask: What did we discuss?"
164,contextual_dependency,"as planned","Should ask: What was planned?"
165,contextual_dependency,"according to plan","Should ask: What was the plan?"
166,contextual_dependency,"per the spec","Should ask: What specification?"
167,contextual_dependency,"as specified","Should ask: What was specified?"
168,contextual_dependency,"per requirements","Should ask: What requirements?"
169,contextual_dependency,"as required","Should ask: What is required?"
170,contextual_dependency,"per standard","Should ask: What standard?"
171,contextual_dependency,"as standard","Should ask: What is the standard?"
172,contextual_dependency,"per protocol","Should ask: What protocol?"
173,contextual_dependency,"as protocol","Should ask: What is the protocol?"
174,contextual_dependency,"per procedure","Should ask: What procedure?"
175,contextual_dependency,"as procedure","Should ask: What is the procedure?"
176,cross_domain,"analyze this","Should ask: What type of analysis?"
177,cross_domain,"process this","Should ask: What type of processing?"
178,cross_domain,"handle this","Should ask: What type of handling?"
179,cross_domain,"manage this","Should ask: What type of management?"
180,cross_domain,"control this","Should ask: What type of control?"
181,cross_domain,"monitor this","Should ask: What type of monitoring?"
182,cross_domain,"track this","Should ask: What type of tracking?"
183,cross_domain,"measure this","Should ask: What type of measurement?"
184,cross_domain,"calculate this","Should ask: What type of calculation?"
185,cross_domain,"compute this","Should ask: What type of computation?"
186,cross_domain,"solve this","Should ask: What type of problem?"
187,cross_domain,"resolve this","Should ask: What type of resolution?"
188,cross_domain,"address this","Should ask: What type of addressing?"
189,cross_domain,"tackle this","Should ask: What type of tackling?"
190,cross_domain,"approach this","Should ask: What type of approach?"
191,cross_domain,"deal with this","Should ask: What type of dealing?"
192,cross_domain,"work on this","Should ask: What type of work?"
193,cross_domain,"focus on this","Should ask: What type of focus?"
194,cross_domain,"concentrate on this","Should ask: What type of concentration?"
195,cross_domain,"emphasize this","Should ask: What type of emphasis?"
196,cross_domain,"highlight this","Should ask: What type of highlighting?"
197,cross_domain,"spotlight this","Should ask: What type of spotlighting?"
198,cross_domain,"feature this","Should ask: What type of featuring?"
199,cross_domain,"showcase this","Should ask: What type of showcasing?"
200,cross_domain,"present this","Should ask: What type of presentation?"
